ASX Code,Last 16 Closes,Change (%),Stdev (%),Last 20 Closes,Last 15 Closes,Last 19 Closes,Last 14 Closes,Last 3 Closes
CWY,,3.35%,1.28%,"[2.54, 2.6, 2.55, 2.52, 2.57, 2.57, 2.56, 2.55, 2.6, 2.6, 2.63, 2.64, 2.63, 2.62, 2.61, 2.6, 2.59, 2.58, 2.59, 2.62]",,,,
CSX,,-10.2%,4.44%,"[0.49, 0.45, 0.44, 0.44, 0.47, 0.47, 0.47, 0.47, 0.46, 0.47, 0.47, 0.5, 0.5, 0.48, 0.49, 0.47, 0.44, 0.44, 0.44, 0.44]",,,,
CVW,,-1.06%,2.73%,"[0.47, 0.49, 0.49, 0.49, 0.5, 0.5, 0.47, 0.47, 0.46, 0.47, 0.46, 0.49, 0.49, 0.48, 0.49, 0.47, 0.47, 0.46, 0.47, 0.47]",,,,
CPV,,-2.63%,8.84%,"[0.19, 0.25, 0.2, 0.22, 0.21, 0.22, 0.22, 0.22, 0.22, 0.22, 0.21, 0.22, 0.19, 0.19, 0.2, 0.19, 0.19, 0.19, 0.19, 0.19]",,,,
COV,,-20.88%,8.95%,"[0.46, 0.41, 0.44, 0.45, 0.44, 0.46, 0.45, 0.45, 0.44, 0.42, 0.43, 0.41, 0.4, 0.38, 0.38, 0.35, 0.35, 0.4, 0.37, 0.36]",,,,
CC5,,0.0%,6.77%,"[0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]",,,,
CAM,,-1.53%,0.93%,"[0.75, 0.75, 0.74, 0.74, 0.75, 0.74, 0.74, 0.74, 0.76, 0.73, 0.74, 0.74, 0.74, 0.74, 0.74, 0.75, 0.74, 0.74, 0.74, 0.74]",,,,
CIW,,-6.85%,2.97%,,,"[0.37, 0.37, 0.37, 0.35, 0.35, 0.35, 0.35, 0.35, 0.34, 0.34, 0.34, 0.34, 0.34, 0.34, 0.34, 0.34, 0.34, 0.34, 0.34]",,
CUV,,-10.72%,3.09%,"[11.85, 11.27, 11.6, 11.56, 11.53, 11.57, 11.61, 11.94, 11.88, 11.9, 11.26, 11.7, 12.04, 11.75, 11.68, 11.46, 11.31, 11.25, 10.95, 10.58]",,,,
CLG,,-10.31%,2.81%,"[0.1, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09]",,,,
CLV,,22.5%,15.06%,"[0.4, 0.4, 0.37, 0.35, 0.35, 0.35, 0.35, 0.41, 0.43, 0.43, 0.46, 0.47, 0.49, 0.51, 0.51, 0.53, 0.53, 0.52, 0.5, 0.49]",,,,
CLU,,-2.27%,0.96%,,,"[0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09]",,
CEH,,-2.33%,1.67%,"[0.43, 0.44, 0.43, 0.44, 0.42, 0.43, 0.43, 0.42, 0.42, 0.41, 0.43, 0.42, 0.44, 0.42, 0.42, 0.41, 0.42, 0.41, 0.42, 0.42]",,,,
COB,,-6.9%,11.14%,"[0.06, 0.05, 0.05, 0.05, 0.07, 0.08, 0.07, 0.07, 0.06, 0.06, 0.06, 0.07, 0.06, 0.06, 0.06, 0.06, 0.05, 0.05, 0.05, 0.05]",,,,
CBO,,-11.19%,3.01%,"[2.01, 2.0, 1.94, 1.92, 1.9, 1.92, 1.88, 1.88, 1.86, 1.89, 1.87, 1.9, 1.96, 1.87, 1.86, 1.8, 1.83, 1.92, 1.89, 1.78]",,,,
CBE,,-8.77%,5.5%,"[0.06, 0.06, 0.05, 0.05, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",,,,
COH,,1.45%,1.42%,"[266.85, 263.64, 258.63, 258.83, 260.19, 262.46, 266.31, 267.31, 270.02, 271.38, 266.04, 266.52, 268.94, 268.46, 267.32, 262.3, 265.01, 267.96, 268.81, 270.71]",,,,
COD,,-11.11%,4.11%,"[0.09, 0.08, 0.09, 0.08, 0.08, 0.08, 0.09, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.09, 0.09, 0.08, 0.08, 0.08, 0.08]",,,,
CDA,,-3.27%,4.98%,"[15.28, 14.9, 14.48, 14.2, 14.32, 14.26, 14.33, 15.28, 15.63, 16.24, 16.12, 16.11, 16.71, 16.13, 16.06, 15.59, 15.55, 15.63, 15.39, 14.78]",,,,
CDE,,0.0%,0.0%,,,,,"[0.0, 0.0, 0.0]"
CDR,,-22.73%,12.48%,,,"[0.02, 0.02, 0.02, 0.02, 0.01, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]",,
COG,,27.23%,11.16%,"[0.95, 0.95, 0.87, 0.95, 0.94, 0.97, 0.99, 0.95, 0.96, 0.94, 0.93, 0.94, 0.94, 1.08, 1.08, 1.12, 1.16, 1.24, 1.22, 1.22]",,,,
CGS,,1.09%,1.93%,"[1.38, 1.38, 1.36, 1.35, 1.42, 1.41, 1.4, 1.4, 1.4, 1.4, 1.41, 1.35, 1.41, 1.39, 1.33, 1.39, 1.41, 1.35, 1.4, 1.39]",,,,
CKA,,-56.67%,23.45%,"[0.06, 0.06, 0.05, 0.05, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.03, 0.04, 0.04, 0.04, 0.03, 0.03, 0.04, 0.03, 0.03]",,,,
COL,,9.53%,3.17%,"[18.89, 19.01, 19.06, 18.81, 18.7, 18.6, 18.55, 18.47, 18.56, 19.46, 19.06, 19.04, 19.32, 19.41, 19.7, 19.53, 19.88, 19.87, 20.29, 20.69]",,,,
CKF,,-0.7%,2.03%,"[8.6, 8.6, 8.36, 8.25, 8.27, 8.42, 8.56, 8.47, 8.6, 8.56, 8.44, 8.62, 8.83, 8.88, 8.81, 8.58, 8.63, 8.77, 8.71, 8.54]",,,,
COI,,13.04%,6.18%,"[0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.13, 0.13, 0.13, 0.12, 0.14, 0.13, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.13]",,,,
CBA,,4.43%,2.82%,"[148.14, 146.92, 144.8, 144.0, 142.36, 144.66, 144.2, 142.77, 145.93, 145.6, 147.63, 148.63, 150.23, 150.04, 150.43, 150.93, 153.23, 154.82, 156.37, 154.71]",,,,
CCG,,4.62%,2.41%,,,"[0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",,
CF1,,8.33%,3.97%,,,"[0.02, 0.03, 0.02, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.02, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03]",,
CMP,,21.15%,14.2%,"[0.26, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.26, 0.25, 0.32, 0.35, 0.34, 0.34, 0.34, 0.34, 0.35, 0.34, 0.33, 0.32, 0.31]",,,,
CPU,,-8.62%,2.78%,"[40.37, 38.92, 37.73, 37.69, 37.54, 38.26, 38.54, 38.35, 39.2, 40.65, 39.64, 39.82, 39.99, 39.74, 40.21, 39.13, 39.79, 38.15, 37.95, 36.89]",,,,
CND,,10.0%,11.37%,"[0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.03, 0.03, 0.03, 0.03, 0.03, 0.02, 0.02, 0.03, 0.02, 0.02, 0.02]",,,,
CNJ,,16.67%,4.57%,,,"[0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]",,
CML,,-16.67%,5.3%,,,"[0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.13, 0.12]",,
CXZ,,-6.67%,2.59%,,,"[0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03]",,
CRD,,-5.19%,3.54%,,,"[0.77, 0.77, 0.8, 0.75, 0.75, 0.75, 0.76, 0.75, 0.75, 0.8, 0.75, 0.75, 0.8, 0.75, 0.75, 0.75, 0.73, 0.68, 0.73]",,
CR1,,0.0%,7.15%,,,"[0.17, 0.16, 0.16, 0.16, 0.16, 0.16, 0.16, 0.16, 0.16, 0.16, 0.16, 0.19, 0.2, 0.17, 0.17, 0.17, 0.17, 0.17, 0.17]",,
CT1,,0.0%,0.0%,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,
CEN,,1.33%,2.33%,"[8.24, 8.1, 8.0, 7.98, 8.0, 7.8, 7.9, 8.08, 7.73, 7.87, 7.74, 8.09, 7.95, 7.83, 8.29, 8.31, 8.23, 8.02, 8.01, 8.35]",,,,
CBL,,19.05%,11.63%,,,"[0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.03, 0.04, 0.04, 0.04, 0.04, 0.05, 0.05, 0.05, 0.05]",,
CBH,,0.0%,0.0%,,,"[0.21, 0.21, 0.21, 0.21, 0.21, 0.21, 0.21, 0.21, 0.21, 0.21, 0.21, 0.21, 0.21, 0.21, 0.21, 0.21, 0.21, 0.21, 0.21]",,
CPM,,-2.5%,4.63%,"[0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04]",,,,
CUS,,-9.38%,3.95%,,,"[0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03]",,
COY,,7.14%,3.77%,,,"[0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]",,
CZN,,50.0%,18.9%,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,
CR3,,-29.41%,8.99%,,,"[0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01]",,
CXO,,-18.75%,4.75%,"[0.08, 0.07, 0.07, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.07, 0.07, 0.06]",,,,
CR9,,20.05%,24.85%,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,
CRN,,-45.14%,21.83%,"[0.52, 0.51, 0.55, 0.51, 0.5, 0.51, 0.5, 0.47, 0.46, 0.4, 0.35, 0.35, 0.34, 0.35, 0.34, 0.33, 0.33, 0.31, 0.29, 0.28]",,,,
CTD,,-13.9%,3.72%,"[15.04, 14.96, 14.21, 14.11, 14.11, 14.45, 14.46, 14.05, 14.38, 14.48, 14.57, 15.12, 15.32, 14.97, 14.52, 13.91, 14.06, 14.27, 13.97, 12.95]",,,,
CMO,,-13.33%,11.08%,"[0.01, 0.01, 0.01, 0.01, 0.01, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.01, 0.01, 0.02, 0.02, 0.02, 0.01, 0.01]",,,,
C1X,,-21.0%,6.63%,"[0.1, 0.09, 0.09, 0.09, 0.09, 0.09, 0.08, 0.08, 0.08, 0.09, 0.09, 0.09, 0.09, 0.08, 0.09, 0.08, 0.09, 0.08, 0.08, 0.08]",,,,
COS,,-12.94%,3.26%,"[0.85, 0.83, 0.81, 0.81, 0.79, 0.79, 0.79, 0.8, 0.81, 0.81, 0.81, 0.81, 0.81, 0.8, 0.8, 0.8, 0.77, 0.75, 0.75, 0.74]",,,,
CUP,,-3.54%,1.69%,"[0.75, 0.71, 0.7, 0.73, 0.73, 0.73, 0.75, 0.75, 0.72, 0.74, 0.73, 0.74, 0.75, 0.75, 0.74, 0.74, 0.75, 0.73, 0.74, 0.72]",,,,
CYG,,-14.29%,4.54%,"[1.05, 1.05, 1.05, 1.05, 1.05, 1.01, 1.03, 0.98, 1.02, 1.0, 0.99, 1.04, 1.05, 1.05, 0.98, 0.97, 0.96, 0.95, 0.94, 0.9]",,,,
CGO,,0.0%,1.5%,,,"[0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06]",,
CCR,,-12.24%,4.02%,"[0.25, 0.23, 0.23, 0.24, 0.23, 0.22, 0.23, 0.23, 0.25, 0.25, 0.24, 0.24, 0.23, 0.23, 0.23, 0.22, 0.22, 0.22, 0.22, 0.22]",,,,
CCP,,-11.65%,2.8%,"[14.43, 14.26, 13.94, 13.84, 13.88, 14.07, 14.04, 13.99, 14.36, 14.35, 14.31, 14.51, 14.47, 14.32, 14.45, 13.81, 14.01, 14.17, 13.8, 12.75]",,,,
CI1,,0.0%,0.0%,,,"[0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11]",,
CRI,,-17.65%,6.77%,"[0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.01, 0.02, 0.02, 0.01, 0.02, 0.01, 0.02, 0.01, 0.01, 0.01]",,,,
CMG,,-9.68%,4.03%,"[0.16, 0.16, 0.15, 0.16, 0.16, 0.14, 0.16, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.15, 0.14, 0.14, 0.15, 0.14, 0.14, 0.14]",,,,
CRR,,-20.0%,12.85%,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,,
CMW,,-5.83%,1.66%,"[0.38, 0.38, 0.37, 0.38, 0.37, 0.38, 0.37, 0.37, 0.36, 0.36, 0.37, 0.36, 0.37, 0.37, 0.37, 0.37, 0.37, 0.38, 0.37, 0.36]",,,,
CTE,,0.67%,2.23%,"[0.75, 0.75, 0.75, 0.75, 0.75, 0.78, 0.77, 0.77, 0.77, 0.77, 0.78, 0.78, 0.78, 0.78, 0.8, 0.8, 0.8, 0.8, 0.8, 0.75]",,,,
CSL,,2.13%,1.37%,"[255.4, 251.93, 250.37, 248.49, 250.05, 247.88, 247.69, 250.29, 255.32, 254.0, 253.33, 256.8, 252.92, 252.41, 252.72, 249.28, 251.57, 255.19, 257.68, 260.85]",,,,
CLX,,-7.41%,2.43%,"[1.67, 1.63, 1.57, 1.57, 1.57, 1.57, 1.64, 1.64, 1.64, 1.61, 1.63, 1.67, 1.6, 1.63, 1.65, 1.61, 1.59, 1.62, 1.54, 1.55]",,,,
CUE,,-13.04%,4.28%,"[0.12, 0.1, 0.1, 0.1, 0.1, 0.1, 0.11, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.11, 0.1]",,,,
CUF,,0.0%,3.22%,"[0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]",,,,
CUL,,0.0%,11.57%,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,,
CPO,,-23.53%,10.9%,"[0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.01, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.02, 0.01]",,,,
CVB,,4.76%,6.04%,"[0.1, 0.1, 0.1, 0.11, 0.1, 0.11, 0.12, 0.11, 0.11, 0.11, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.11, 0.11]",,,,
CCL,,-6.77%,2.08%,"[2.66, 2.62, 2.62, 2.64, 2.65, 2.61, 2.64, 2.65, 2.67, 2.71, 2.7, 2.66, 2.7, 2.68, 2.65, 2.6, 2.6, 2.6, 2.54, 2.48]",,,,
CVC,,-2.38%,0.69%,,,"[2.1, 2.1, 2.08, 2.08, 2.08, 2.07, 2.07, 2.07, 2.07, 2.07, 2.07, 2.07, 2.07, 2.07, 2.07, 2.05, 2.05, 2.05, 2.05]",,
CYQ,,0.0%,13.41%,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,,
CLE,,-18.0%,5.54%,"[0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.04]",,,,
CYC,,-15.36%,8.72%,"[1.4, 1.36, 1.3, 1.43, 1.46, 1.43, 1.42, 1.46, 1.45, 1.38, 1.23, 1.21, 1.2, 1.14, 1.16, 1.15, 1.29, 1.27, 1.24, 1.18]",,,,
CY5,,-29.17%,8.58%,"[0.12, 0.12, 0.1, 0.1, 0.12, 0.12, 0.11, 0.11, 0.12, 0.11, 0.12, 0.12, 0.1, 0.1, 0.11, 0.11, 0.1, 0.1, 0.09, 0.09]",,,,
CYP,,-26.67%,7.54%,"[0.22, 0.21, 0.22, 0.22, 0.22, 0.21, 0.21, 0.21, 0.2, 0.2, 0.2, 0.2, 0.19, 0.19, 0.19, 0.19, 0.2, 0.19, 0.18, 0.17]",,,,
CYM,,5.88%,10.16%,"[0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]",,,,
CZR,,14.0%,8.58%,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.28, 0.3, 0.31, 0.31, 0.31, 0.31, 0.31, 0.3, 0.29, 0.3, 0.28, 0.28]",,,,
CCO,"[0.01, 0.01, 0.0, 0.01, 0.01, 0.01, 0.0, 0.01, 0.01, 0.01, 0.0, 0.01, 0.0, 0.0, 0.01, 0.0]",-16.67%,8.61%,,,,,
